soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Jay Aake,Do You Ever Think Of Me,indie,344000,2020-08-11 00:49:12.303000+00:00,j_akes6,,,,,,,
Jay Gwuapo,Back To Back,rap,455000,2020-08-12 19:39:59.470000+00:00,jaygwuapo_,1,"1,196",30,--,0.00,0,#VALUE!
Jay Sean,Down (feat. Lil Wayne),rap,344000,2020-08-12 21:07:09.552000+00:00,jaysean,"2,395","535,475",413,1.19%,"6,195.05",177.4,6372
Jay Shalé,DJ Shalé - Mondaze Ep 4,ultimate,5505,2020-08-16 18:29:02.101000+00:00,jay_shale,"1,099","172,707","3,635",1.73%,"2,906.25",81.5,2988
Jayda G,Are U Down,indie,11500,2020-08-11 00:26:28.978000+00:00,jaydagmusic,359,"60,793",764,2.78%,"1,651.10",38.8,1690
Jaymie Silk,Jaymie Silk - Same For Me,indie,0,2020-08-11 00:43:50.279000+00:00,jaymiesilk,466,"1,387",711,5.24%,64.2,8.5,73
Jean Souza 6,Ash - Girl From Mars,indie,24300,2020-08-11 14:10:34.683000+00:00,,,,,,,,
Jee Juh Beats,"Dark Trap Type Beat (Future, 21 Savage Type Beat) - ""Losses"" - Rap Instrumentals",ultimate,2223,2020-08-16 19:02:21.036000+00:00,jeejuh,,,,,,,
Jeremy Stott,Resist,ultimate,422,2020-08-13 23:47:55.665000+00:00,jeremystott,,,,,,,
Jeroen94,SecondCity - I Enter,ultimate,843000,2020-08-13 16:39:33.783000+00:00,secondcityuk,,,,,,,
Jess Bays,In This Alone (OUT NOW),ultimate,613,2020-08-13 16:42:06.838000+00:00,jessbaysdj,"4,463","27,329","4,096",1.65%,424.65,27.5,451
Jess Benko,September 13th,indie,8008,2020-08-11 00:57:56.647000+00:00,jess.benko,,,,,,,
JessieWare,Wildest Moments,indie,18200,2020-08-11 02:58:48.160000+00:00,jessieware,"3,379","317,569","3,060",3.49%,"10,812.30",264.25,11083
Jessy Lanza,Over And Over,ultimate,0,2020-08-13 14:29:11.370000+00:00,jessy.lanza,,,,,,,
Jhené Aiko,B.S. (feat. H.E.R.),ultimate,3340000,2020-08-13 01:14:17.932000+00:00,jheneaiko,"2,394","10,926,062",124,2.99%,"325,668.00","1,232.25",326689
Jim-E Stack,Note To Self ft. Empress Of,indie,2027,2020-08-11 01:32:35.417000+00:00,jimestack,,,,,,,
Joe,Installment 4.,ultimate,44,2020-08-14 02:59:13.926000+00:00,shalloumusic,,,,,,,
Joe Hertz,Used,ultimate,2347,2020-08-13 01:07:55.777000+00:00,joehertzmusic,155,"13,086",999,4.19%,523.95,24.45,548
Joe Turner,Malibak,indie,7583,2020-08-11 00:43:30.215000+00:00,joeturnerr,483,"1,321",887,6.64%,80.90,6.85,88
Joesef,I Wonder Why,indie,1741,2020-08-11 01:32:15.551000+00:00,joesefjoesefjoesef,176,"11,424",164,11.47%,"1,285.25",25.5,1310
Johan Thomas,Rush Hour Hard Dance Mix 2020 Part 2,ultimate,1433,2020-08-14 00:02:12.610000+00:00,johanthomas1993,,,,,,,
John Summit,John Summit - Deep End,ultimate,149000,2020-08-13 03:30:08.208000+00:00,itsjohnsummit,196,"22,297",996,11.40%,"2,352.65",189.15,2542
Johnny Freyre Castillo,Ama Tu Tierra,ultimate,12,2020-08-14 03:12:49.150000+00:00,,,,,,,,
Jonna Fraser,Kalmeer,rap,553,2020-08-11 23:22:25.310000+00:00,jonnafraser,,,,,,,
Jonny Sum,Mood100,ultimate,1067,2020-08-13 16:49:53.983000+00:00,jonnysun,,,,,,,
Jordan Suaste,Body (Acoustic),ultimate,13000,2020-08-14 03:21:22.297000+00:00,jordansuaste,109,"51,392",251,22.10%,"11,065.80",290.00,11358
Jordy Chandra,At Night I Miss You the Most,indie,66200,2020-08-11 00:47:05.836000+00:00,jordychandra,145,"3,218",645,9.22%,278.3,18.45,297
Joris Voorn,District Seven,ultimate,645,2020-08-13 16:51:40.881000+00:00,jorisvoorn,,,,,,,
Jorja Smith,Jorja Smith - By Any Means,rap,31000,2020-08-12 19:30:23.167000+00:00,jorjasmith_,551,"3,360,298",869,14.63%,"488,015.00","3,514.10",491612
Josh O'connor,BBCC Bad Boy Chiller Crew - 450 ft. S Dog,ultimate,147000,2020-08-13 23:51:19.932000+00:00,bbcc_badboychillercrew,,,,,,,
JoshTorrens,rain over me fuk your phase 3,ultimate,25900,2020-08-16 19:05:15.272000+00:00,,,,,,,,
Josie Man,Colours,indie,4826,2020-08-11 18:35:03.187000+00:00,agroovyboothang,,,,,,,
Joy Division,Love Will Tear Us Apart,indie,0,2020-08-11 14:07:19.869000+00:00,officialjoydivision,,,,,,,
JuBeatz,"(FREE) [PIANO] Toosii x Rylo Rodriguez Type Beat 2020 ""Retention"" (prod. JProductions x Vert)",ultimate,17,2020-08-16 19:04:04.077000+00:00,1solid.j,2,"5,268",258,5.10%,159.00,109.5,269
Juice Menace,Sundown,rap,151,2020-08-12 19:40:56.637000+00:00,juicemenace,,,,,,,
Juice WRLD,Blood On My Jeans,rap,10300000,2020-08-12 20:21:19.897000+00:00,juicewrld999,,,,,,,
Juicy J,GAH DAMN HIGH (feat. Wiz Khalifa),rap,28900,2020-08-12 20:38:05.198000+00:00,juicyj,38,"3,185,948",572,0.54%,"16,822.80",437.2,17204
Julia Jacklin,Someday (triple j Like A Version),indie,3730,2020-08-11 18:47:29.081000+00:00,juliajacklin,,,,,,,
Julia Mosley,King Of Serenity (Julia Mosley Band),ultimate,34,2020-08-14 03:01:16.225000+00:00,juliarachelmosley,,,,,,,
Juls,Juls x Kairo - Blessed 🙏,rap,1067,2020-08-12 19:32:17.200000+00:00,jules_music27,,,,,,,
JuniorSanchez,Looking 4 love,ultimate,5869,2020-08-13 16:54:06.384000+00:00,juniorsanchezofficial,20,"41,444",993,0.65%,259.25,11.85,269
Just Kiddin,Time Alone,ultimate,11300,2020-08-13 03:38:34.749000+00:00,wearejustkiddin,,"7,551","1,702",2.67%,186.55,15.4,202
Justin Bieber,Get Me (feat. Kehlani),ultimate,137000,2020-08-13 14:24:42.595000+00:00,justinbieber,"5,679","146,074,290",459,1.40%,"2,029,980.00","10,400.30",2045040
K Camp,Lottery (Renegade) (Quavo Remix),rap,72000,2020-08-12 20:50:53.927000+00:00,kcamp,40,"1,145,719",340,1.61%,"17,728.10",765.85,18446
K'von,Again,ultimate,1380,2020-08-16 18:22:22.597000+00:00,iamkvon._,,,,,,,
K-Trap,Shivers,rap,13300,2020-08-12 19:41:32.384000+00:00,ktrap_1,,,,,,,
K.I.G,"Head, Shoulders, Kneez & Toez (Original Club Mix)",rap,0,2020-08-12 21:06:20.873000+00:00,iamdjkid,,,,,,,
KALLITECHNIS,I don't - LOXE & Maths Time Joy Remix,ultimate,1417,2020-08-13 00:59:49.507000+00:00,kallitechnis,"1,101","6,729","1,091",4.45%,285.15,14.4,299
KB,10K,rap,2683,2020-08-12 20:14:14.153000+00:00,kanebrown_music,,,,,,,
KID BRUNSWICK,Prescription Kid,ultimate,2406,2020-08-13 14:56:26.588000+00:00,kidbrunswick,64,"3,052",8,--,0.00,0.00,#VALUE!
KO,Captain,rap,1229,2020-08-12 19:44:21.975000+00:00,ko,,,,,,,
KS,The 1st,ultimate,3648,2020-08-13 23:53:50.140000+00:00,kateksmusic,,,,,,,
KSI,Lighter (feat. KSI),ultimate,623000,2020-08-13 23:49:48.503000+00:00,ksi,179,"8,453,311",438,7.79%,"649,367.00","8,768.30",658513
KUU,How Could I Ever (feat. Shungudzo),indie,14000,2020-08-11 00:26:22.798000+00:00,kuumusic,31,504,3,5.00%,46.25,2.05,25
Kaci-lea Lynch,KC F*CKEN LEA,ultimate,27500,2020-08-13 23:49:57.471000+00:00,kacilealynch_,,,,,,,
Kacy Hill,Porsche,indie,11100,2020-08-11 18:44:41.854000+00:00,kacyhill,,,,,,,
Kaiser Chiefs,I Predict A Riot,indie,50700,2020-08-11 14:08:32.692000+00:00,kaiserchiefs,,,,,,,
Kaitlyn Aurelia Smith,Lagoon,indie,337,2020-08-11 00:44:01.598000+00:00,,,,,,,,
Kalan.frfr,Right Wit It (Remix) [feat. YG],rap,74100,2020-08-12 20:45:26.268000+00:00,kalan.frfr,49,"151,319","2,486",4.64%,"6,836.20",179.95,7021
Kaltrina,Billie Eilish - When The Party's Over (cover),indie,3360000,2020-08-11 01:30:13.474000+00:00,kaltrinamikushnicaaa,,,,,,,
Kamille,Somebody (feat. Ebenezer),ultimate,582,2020-08-13 01:01:48.263000+00:00,kamille,220,"197,316","1,664",6.92%,"13,543.30",101.05,13654
Kanye West,Don't Like.1,rap,318000,2020-08-12 19:37:08.228000+00:00,,,,,,,,
KarenHarding,Karen Harding X Digital Farm Animals - Undo My Heart,ultimate,18100,2020-08-13 03:31:38.576000+00:00,karenharding,"1,665","17,870","2,039",1.58%,267.4,14.85,282
Kartell,All in feat. Che Lingo,ultimate,27300,2020-08-13 01:00:20.830000+00:00,kartellmusic,9,"11,798",360,4.54%,506.00,29.11,536
Kate Bollinger,A Couple Things,indie,1333,2020-08-11 19:53:32.809000+00:00,keetiebee,,,,,,,
Katenash,Foundations,indie,31300,2020-08-11 14:05:36.368000+00:00,katenash,,,,,,,
Katy B,Lights On (Single Mix) [feat. Ms Dynamite],rap,18400,2020-08-12 21:06:37.190000+00:00,katyb,14,"121,718","2,211",4.08%,"4,820.21",150.14,4966
Kaxi,idk,indie,4,2020-08-11 00:52:11.556000+00:00,,,,,,,,
Keaton Henson,Ontario,indie,341,2020-08-11 01:14:36.185000+00:00,keatonhenson,,,,,,,
Keemo Bankz,Demon Call,rap,13,2020-08-12 19:37:15.487000+00:00,keemobankz,12,"1,450","1,718",1.95%,27.67,0.58,28
Kehlani,F&MU,ultimate,4280000,2020-08-13 01:16:33.504000+00:00,kehlani,781,"11,916,062","2,248",5.19%,"614,859.00","3,596.50",618444
Kei HM -Annex-,Till We Meet Again (Kei HM featuring emilyn),ultimate,15,2020-08-14 03:05:51.794000+00:00,,,,,,,,
Keinemusik,"Keinemusik (Rampa, Adam Port, &ME) - Muyè",ultimate,485000,2020-08-13 16:52:59.806000+00:00,,,,,,,,
Kelliam Beats,SILLY'' - Unkown T X G4 Boyz X Chief Keef UK/NY DRILL Type Beat 2020 | (Prod Kelliam Beats),ultimate,57,2020-08-16 19:04:52.700000+00:00,kelliambeats,,,,,,,
Kelly Lee Owens,On,indie,2684,2020-08-11 00:28:45.523000+00:00,kellyleeowens,36,"18,628",499,6.91%,"1,248.40",38,1287
Kelly Rowland,COFFEE,ultimate,309000,2020-08-13 01:16:02.250000+00:00,kellyrowland,"1,058","10,424,835","1,004",1.81%,"186,582.00","2,137.00",188690
Kendrikkanata,Ada Band - Kau Auraku (Cover By Kendrik Kanata),ultimate,9636,2020-08-14 03:18:33.816000+00:00,kendrikkanata,,,,,,,
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,indie,108000,2020-08-11 01:26:53.057000+00:00,kennyhoopla,,,,,,,
Kevin McKay,Such A Good Feeling (Earth n Days Remix),ultimate,119,2020-08-13 16:44:27.968000+00:00,kevinmckay,,,,,,,
Khalid,Eleven (feat. Summer Walker),ultimate,51200,2020-08-13 01:13:30.639000+00:00,thegr8khalid,142,"7,707,858","1,552",5.02%,"384,588.00","1,991.70",386934
KhruangBin,C-Side,indie,41700,2020-08-11 18:46:35.040000+00:00,khruangbin,,,,,,,
KiDi,Say Cheese,rap,11500,2020-08-12 20:23:56.900000+00:00,kidimusic,,,,,,,
KiNK,Leko (Session Victim Remix),ultimate,18300,2020-08-13 16:53:16.900000+00:00,,,,,,,,
Kiana Ledé,Chocolate. (feat. Ari Lennox),ultimate,207000,2020-08-13 01:17:20.368000+00:00,kianalede,,,,,,,
Kid Cudi,"Kid Cudi, Eminem - The Adventures Of Moon Man & Slim Shady",rap,100000,2020-08-12 20:15:29.430000+00:00,kidcudi,,,,,,,
Kid Kapichi,Working Man's Town,ultimate,422,2020-08-13 15:05:19.300000+00:00,kidkapichi,563,"8,516",445,7.19%,599.70,12.55,612
Kideko,The Fire,ultimate,14700,2020-08-13 16:42:39.564000+00:00,kidekomusic,"1,085","11,541",934,2.16%,235.8,13.3,249
Kilder,Backwards (feat. LYZZA),indie,607,2020-08-11 00:46:57.813000+00:00,thiskilder,7,618,162,11.69%,115,14.71,72
Kina,Wish I Was Better,indie,128000,2020-08-11 01:00:34.931000+00:00,kinabeats,213,"133,780",391,8.06%,"10,593.60",194.65,10783
King G,Call Me Up,ultimate,250000,2020-08-14 03:51:26.034000+00:00,kinggizzard,,,,,,,
King Princess,Ain't Together,indie,33300,2020-08-11 20:14:01.743000+00:00,kingprincess69,,,,,,,
King Von,Took Her To The O,rap,8550000,2020-08-12 19:36:51.307000+00:00,kingvonfrmdao,,,,,,,
Kings of Leon Official,The Bucket,indie,17300,2020-08-11 14:04:17.593000+00:00,kingsofleon,,,,,,,
Kio,Shadows (ft. Neo) [prod. CapsCtrl],ultimate,246,2020-08-14 02:56:21.107000+00:00,kio.qu,,,,,,,
Kllo,My Gemini,indie,0,2020-08-11 00:26:50.337000+00:00,kllomusic,,,,,,,
Koffee,Lockdown,rap,19000,2020-08-12 19:30:42.089000+00:00,originalkoffee,16,"1,226,519",64,16.56%,"199,114.00","3,988.06",203112
Konan and Krept,I Spy (feat. Headie One & K-Trap),rap,194000,2020-08-12 20:25:58.222000+00:00,kreptandkonan,,,,,,,
Koomz,Mariah (Remix) [feat. Sneakbo],rap,35700,2020-08-12 20:29:23.319000+00:00,Koomz,,,,,,,
Kourtnei O Romig,Breadcrumbs - Andy Leon - VOICE COVER,indie,4,2020-08-11 00:48:16.838000+00:00,,,,,,,,
Krill,Denshou No Shi -Nervus,ultimate,533,2020-08-13 03:26:37.041000+00:00,itskrilla,,,,,,,
Krizbeatz_,African Time,rap,153,2020-08-11 23:22:58.828000+00:00,krizbeatz_,,,,,,,
Krystal Roxx,100%,ultimate,12,2020-08-13 03:36:47.578000+00:00,krystalroxx,,,,,,,
KylahShanae,Slow Motion - kylah shanae,ultimate,9258,2020-08-14 04:03:09.094000+00:00,,,,,,,,
Kölsch,Kölsch - The Great Consumer,indie,8648,2020-08-11 00:44:42.406000+00:00,kolschofficial,,,,,,,
L O I C K,"Whatever You Like (feat. Aida Lae, Mr Eazi & Wretch 32)",rap,40000,2020-08-12 20:35:17.047000+00:00,alliesherlock,,,,,,,
L!na,DAYDREAM,ultimate,415,2020-08-14 03:19:15.559000+00:00,_l1n4._,95,135,46,--,0,0,#VALUE!
L2Share♫108,"KANG DANIEL - 깨워 (Who U Are) / Waves (feat. 사이먼 도미닉, Jamie) / Flash / Runaway (feat. 염따 (YUMDDA))",ultimate,24900,2020-08-14 03:56:12.442000+00:00,daniel.k.here,,,,,,,
LA PRIEST,Rubber Sky (Edit),indie,180,2020-08-11 01:34:22.678000+00:00,trulylapriest,87,"3,950",23,9.54%,365.6,11.05,377
LARRY PINK THE HUMAN,MIGHT DELETE LATER,indie,32,2020-08-11 01:14:09.547000+00:00,larrypinkthehuman,,,,,,,
LCD Soundsystem,All My Friends (Edit),indie,0,2020-08-11 14:03:11.933000+00:00,lcdsoundsystem,,,,,,,
LD,This Side,rap,415,2020-08-12 19:42:15.847000+00:00,ldevinemusic,,,,,,,
LEFTWING : KODY,Purple Sunshine (feat. Leo Stannard),ultimate,8299,2020-08-13 03:35:48.516000+00:00,leftwingkody,,,,,,,
LEO BHANJI,Blade Of Hope,indie,1081,2020-08-11 00:47:37.880000+00:00,leobhanji,88,"3,070",587,9.63%,285.7,9.95,296
LIKE THAT UNDERGROUND,Premiere: Roy Davis Jr & Terry Dexter - Just A Little Bit of Love (Lonely C Remix),indie,1474,2020-08-11 00:54:07.937000+00:00,likethatunderground,442,"8,438","1,166",1.01%,84.80,0.5,85
LIL UZI VERT,Future & Lil Uzi Vert - Over Your Head,ultimate,3660000,2020-08-13 23:50:07.857000+00:00,liluzivert,,,,,,,
LLAMAR,Don't Leave Me Now (Philip Simons Remix),ultimate,43500,2020-08-13 23:50:25.949000+00:00,llamar_official,58,181,324,1.13%,6.5,0.75,2
LOOK MUM NO COMPUTER,Stand And Deliver,ultimate,1268,2020-08-13 03:29:19.754000+00:00,lookmumnocomputer,929,"68,724",881,2.35%,"1,581.95",32.65,1615
LOW STEPPA,Low Steppa feat. Reigns - Weekend Love,ultimate,6366,2020-08-13 23:33:36.247000+00:00,lowsteppa,"3,456","96,778","2,114",1.55%,"1,398.65",105.7,1500
LP Giobbi,Meet Again Ft Little Boots,ultimate,9115,2020-08-13 03:34:13.767000+00:00,lpgiobbi,,,,,,,
LSway,Chris Brown - Lady In The Glass Dress (LSWAY COVER),ultimate,3111,2020-08-16 18:26:00.436000+00:00,lswayofficial,1,"36,417",1,7.25%,"2,580.00",60,2640
La Roux Official,Bulletproof,indie,283000,2020-08-11 14:00:42.904000+00:00,larouxroux,,,,,,,
Labrinth,Let the Sun Shine,rap,33200,2020-08-12 20:59:42.787000+00:00,labrinth,,,,,,,
Lala Lala,€ € € €^^%%!!!!!heaven!!!!!!,indie,15,2020-08-11 01:33:27.359000+00:00,lala_band__,,,,,,,
Landon Sears,Teardrops to a Glass Eye,indie,2057,2020-08-11 01:27:44.149000+00:00,landon_sears,21,787,496,13.00%,170.35,17.15,102
Lane 8,Lane 8 & Kasablanca - Run (Extended Mix),indie,30400,2020-08-11 00:27:01.222000+00:00,lane8music,,,,,,,
LançamentosDoTrap2k20,Borges - Lei Áurea (Prod. L3ozin),ultimate,2742,2020-08-16 19:04:36.907000+00:00,,,,,,,,
Larkins,Pieces,indie,193,2020-08-11 02:56:41.209000+00:00,larkinsband,84,"30,070",959,4.58%,"1,357.85",19.55,1377
Lauren Lo Sung,Lauren Lo Sung - Lucid Dream (Original Mix),ultimate,1264,2020-08-13 16:44:02.312000+00:00,laurenlosung,"2,676","24,042",979,2.13%,484,28.75,512
Lav,Wavvy,indie,24500,2020-08-11 00:59:38.353000+00:00,,,,,,,,
Lawless Inc.,Lil Bibby Ft. King Louie - Thats how we move,rap,8670000,2020-08-12 19:38:26.597000+00:00,lawlessinc,"1,391","4,311","1,451",0.96%,39.9,1.5,41
Lawro Beats,Pop Smoke x Travis Scott NY/UK Drill Type Beat 'PLUTO' [Kyle Beats Contest] [Prod. Lawro Beats],ultimate,106,2020-08-16 19:05:03.738000+00:00,lawrobeats,,,,,,,
Lazarus Kane,Lazarus Kane - Night Walking,indie,638,2020-08-11 01:32:01.926000+00:00,lazaruskaneusa,,,,,,,
LeJit,Tell Me Why Im Waiting - LeJit,ultimate,6759,2020-08-13 16:43:46.130000+00:00,lejitofficial,12,"2,039",686,26.12%,492.09,40.45,533
LeaninTV,[FREE] Freak Drill Type Beat | OUTCRY | Glitchy Free Drill Instrumental (Prod. by 2Syit),ultimate,392,2020-08-16 19:03:41.441000+00:00,leanintv,57,"7,026",120,2.16%,138.15,13.8,152
Lee Keenan Bootlegs,Lee Keenan - My Heart Will Go Out Of The Blue (Free Download),ultimate,8133,2020-08-13 23:54:08.689000+00:00,leekeenanmusic,,,,,,,
Lemonah,I think I love u,indie,69,2020-08-11 00:53:58.472000+00:00,lemonahsauce,21,"2,393",237,2.83%,59.84,7.84,68
Leo Kalt,First Place,ultimate,62,2020-08-13 16:43:19.173000+00:00,leo_kalt,,,,,,,
Les Darcy (New main ),take my hand,ultimate,29500,2020-08-13 23:53:02.243000+00:00,lesdarcy11,,,,,,,
Lianne La Havas,Please Don't Make Me Cry,indie,7127,2020-08-11 01:32:09.045000+00:00,liannelahavas,493,"397,476","1,137",6.51%,"25,298.70",557.95,25876
Life Pass Filter,Minor Place,ultimate,242,2020-08-14 03:00:51.652000+00:00,lifepassfilter,,,,,,,
Lil Baby,We Paid,rap,24300000,2020-08-12 19:45:43.411000+00:00,lilbaby_1,"1,012","12,113,509",732,6.71%,"803,693.00","8,770.35",812816
Lil Durk,Dis Ain't What U Want,rap,58900,2020-08-12 19:37:27.033000+00:00,lildurk,,,,,,,
Lil Loaded,6locc 6a6y (Remix) [feat. NLE Choppa],rap,1230000,2020-08-12 20:21:48.437000+00:00,lil_loaded,,,,,,,
Lil Mosey,Back At It (feat. Lil Baby),rap,4100000,2020-08-12 19:44:46.944000+00:00,lilmosey,51,"4,504,779",74,8.91%,"398,351.00","2,977.45",401376
Lil Pino,Mya Mills,rap,598000,2020-08-12 20:35:29.090000+00:00,dbe_youngboy22,,,,,,,
Lil Reese,Traffic (Explicit Version) [feat. Chief Keef],rap,15400,2020-08-12 19:39:28.043000+00:00,reesemoney300,,,,,,,
Lil Tjay,Zoo York (feat. Fivio Foreign & Pop Smoke),rap,13600000,2020-08-12 19:35:57.578000+00:00,liltjay,60,"3,964,566",132,10.82%,"423,368.00","5,518.10",428966
Lil Wayne,Lil Wayne - Shimmy (feat. Doja Cat),rap,53400,2020-08-12 20:46:37.502000+00:00,liltunechi,672,"12,659,320",1,1.51%,"188,002.00","2,592.70",191156
"Lil Yachty, RD, Lil Boat","Lil Yachty, Tierra Whack - T.D (feat. A$AP Rocky & Tyler, The Creator)",rap,1150000,2020-08-12 20:42:31.959000+00:00,lilyachty,40,"9,770,872",965,2.89%,"278,978.00","3,319.60",282378
Limoblaze,Little Longer,rap,380,2020-08-11 23:20:31.585000+00:00,limoblaze_,,,,,,,
Little Dragon,Where You Belong,indie,11500,2020-08-11 20:13:21.395000+00:00,littledragonflicks,,,,,,,
Little Louie Vega,Vince Montana Tribute (LV & Rick Wilhite ReWork),ultimate,619,2020-08-13 16:45:22.307000+00:00,,,,,,,,
Liv O'Callaghan,Far Enough Away,ultimate,173,2020-08-14 03:21:05.407000+00:00,livocallaghanx,,,,,,,
Liz Lawrence,California Screaming,indie,357,2020-08-11 01:28:28.465000+00:00,lizlawrencemusic,,,,,,,
Lloyd Ballard,The Dying Of The Light - Noel Gallagher’s High Flying Birds (cover),ultimate,48,2020-08-14 03:45:49.538000+00:00,,,,,,,,
Loathe,Two-Way Mirror,ultimate,1144,2020-08-13 03:27:30.389000+00:00,loatheasone,,,,,,,
Lobster Theremin,DISTANT002 // Chavinski - Fantasy EP,ultimate,3339,2020-08-16 19:05:47.027000+00:00,lobstertheremin,748,"24,184","2,013",1.46%,342.65,9.6,353
Local Natives,When Am I Gonna Lose You,indie,136000,2020-08-11 02:55:03.758000+00:00,localnatives,230,"94,521",9,3.00%,"2,803.30",31.15,2836
Locked Groove,Oscillate,ultimate,900,2020-08-13 23:48:22.871000+00:00,lockedgroove,"2,709","8,141",881,1.07%,83.65,3.6,87
Loco_nyan,Southern All Stars _ 勝手にシンドバッド(Loco Edit),indie,37600,2020-08-11 00:58:13.745000+00:00,,,,,,,,
Lola Young,Woman,ultimate,1340,2020-08-13 00:55:56.403000+00:00,lolayounggg,,,,,,,
Lonely The Brave,Distant Light,ultimate,86,2020-08-13 03:19:35.207000+00:00,lonelythebrave,,,,,,,
LongLivThePlug,3am in LA (feat. Stefflon Don),ultimate,8221,2020-08-13 00:55:43.963000+00:00,ebenezersworld,115,"16,893","1,229",3.11%,500.75,25.15,525
Lorenzo de Blanck,Rewind,ultimate,120,2020-08-13 16:47:52.710000+00:00,lorenzodeblanck,,,,,,,
Loski,On Me,rap,13600,2020-08-12 19:30:50.460000+00:00,loskiharlem,,,,,,,
Lotto Boyzz,#ERROR!,rap,125000,2020-08-12 20:34:54.820000+00:00,lottoboyzz,,,,,,,
Love Fame Tragedy,Riding a Wave,indie,79,2020-08-11 15:25:43.948000+00:00,lovefametragedy,,,,,,,
Love Regenerator,Live Without Your Love (Extended Mix),ultimate,42200,2020-08-13 03:30:22.535000+00:00,loveregenerator,,,,,,,
Lucas Duggan 🍄,Corsa Split (Own Tune),ultimate,1043,2020-08-16 19:08:07.622000+00:00,,,,,,,,
Lucky Daye,Shoulda (feat. Babyface),ultimate,8602,2020-08-13 01:12:53.590000+00:00,iamluckydaye,,,,,,,
Lucky Number Music,Darwin Deez - Radar Detector,indie,710000,2020-08-11 00:25:36.254000+00:00,luckynumbermusic,,,,,,,
Lucy Rose,Question It All,indie,1344,2020-08-11 01:14:03.372000+00:00,lucyroseparton,,,,,,,
Luis Santos,"Sabias, Sabiá? (Luis Santos; Marcos Silva)",ultimate,162,2020-08-14 03:11:54.369000+00:00,lsantos73,,,,,,,
Lukas Crozier,Mix #1 (own),ultimate,594,2020-08-14 00:00:47.421000+00:00,,,,,,,,
Lvlhumain,Sundara Karma -Flame (Roosevelt Remix),indie,102000,2020-08-11 00:24:15.517000+00:00,lvlhumain,,,,,,,
Lyndrik Xela,Lyndrik Xela ft Big Tox - Bottom Line,ultimate,456,2020-08-14 03:50:36.629000+00:00,iamlyndrikxela,,,,,,,
M.O,Going Out Of My Way,rap,184000,2020-08-12 20:32:43.298000+00:00,momusic,491,"52,997",715,1.63%,838.20,24.45,864
M1LLIONZ,Y PREE,rap,377000,2020-08-12 19:36:56.660000+00:00,m1llionz,,,,,,,
M24,Peter Pan,rap,292000,2020-08-12 19:40:43.464000+00:00,m24official1,,,,,,,
MASN,Psycho!,indie,13600000,2020-08-11 00:57:02.829000+00:00,masonrupper,92,"79,551",267,6.40%,"4,962.50",127.85,5091
MAX LEONE,Malleable,indie,9930,2020-08-11 00:55:30.841000+00:00,itsmaxleone,93,"7,626",512,17.47%,"1,285.45",46.80,1332
MC Kevin,Vida de Filme,ultimate,13400,2020-08-14 03:09:40.428000+00:00,mckevin,,,,,,,
MEDIALIFTED RADIO,KALLITECHNIS - I Dont(J.ROBB Remix),ultimate,5820,2020-08-14 04:03:24.921000+00:00,kallitechnis,,,,,,,
MEEK MILL,Going Bad (feat. Drake),rap,59700000,2020-08-12 20:18:11.291000+00:00,meekmill,45,"20,227,118","3,060",1.42%,"283,656.00","3,268.95",287225
MEEKZ MANCHESTER,Like Me,rap,59000,2020-08-12 19:33:54.198000+00:00,meekz_manny,,,,,,,
MELLAH,Habit,indie,149,2020-08-11 01:31:46.770000+00:00,mellllah,116,"2,370",329,7.23%,163.1,8.15,171
MIA,Bad Girls,indie,71300,2020-08-11 02:58:29.373000+00:00,miamatangi,,,,,,,
MICHELLE,THE BOTTOM,indie,6187,2020-08-11 01:27:30.847000+00:00,kmichellemusic,,,,,,,
MISS DEE,The Other Side,ultimate,524,2020-08-14 03:19:56.437000+00:00,missdeeniceee,,,,,,,
MK (Marc Kinchen),2AM (feat. Carla Monroe),ultimate,0,2020-08-13 03:29:35.590000+00:00,marckinchen,983,"223,209","2,951",1.94%,"4,232.05",105.4,4330
MNELIA,SAY YEAH,rap,403000,2020-08-12 20:36:38.622000+00:00,mneliaa,,,,,,,
MUNA,I Know A Place,indie,202000,2020-08-11 15:26:50.976000+00:00,whereismuna,,,,,,,
MUSTARD,Ballin' (with Roddy Ricch),rap,92300000,2020-08-12 20:17:51.758000+00:00,mustard,34,"2,509,230",603,1.66%,"41,265.40",500.7,41653
Machine Woman,Gift of admiration and gratitude,indie,15200,2020-08-11 00:44:16.170000+00:00,mmachinewwoman,292,"5,748","1,421",3.13%,165.75,14.3,180
Maggie Rogers,Light On,indie,245000,2020-08-11 18:42:04.008000+00:00,maggierogers,,,,,,,
Magnetic Man,I Need Air (feat. Angela Hunte),ultimate,19400,2020-08-13 03:41:34.993000+00:00,_____magnetic_man_____,,,,,,,
Mahalia,Simmer (feat. Burna Boy),rap,689000,2020-08-12 20:25:49.242000+00:00,mahalia,484,"479,860","1,040",7.58%,"36,123.90",257.35,36373
Majid Jordan,A Place Like This,indie,13400000,2020-08-11 00:31:33.179000+00:00,majidjordan,21,"312,207",117,8.08%,"24,780.60",459.2,25226
